Place of interest,Place address,BiciMAD station,Station location,Bikes_available
Colegio Amorós,Calle Joaquin Turina 37,Caramuel,Calle Caramuel nº 51,5
Colegio Antonio Vicente Mosquete C.R.E.,Avenida Doctor Garcia Tapia 210,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Arcángel,Calle Angel Ganivet 17,Puerta de Mariano de Cavia,Avenida del Mediterráneo nº 19,17
Colegio Arcángel Rafael,Calle Maqueda 4,Caramuel,Calle Caramuel nº 51,5
Colegio Arenales Carabanchel,Avenida Poblados 151,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Aries,Calle Nuñez De Balboa 10,Castelló,Calle Alcalá nº 111,8
Colegio Arturo Soria,Calle Duque De Tamames 9,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Arzobispal-Seminario Menor de Madrid,Plaza San Francisco 5,Plaza de San Francisco,Plaza de San Francisco nº 5,10
Colegio Asunción - Vallecas,Calle Montseny 25,Sierra Toledana,Camino de Valderribas nº 94,19
Colegio Asunción Cuestablanca,"Calle Asuncion Cuestablanca 11 Avda. Burgos Km. 11,800",Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Azorín,Calle Arzua 28,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Beata Filipina - Fundación Feliciana Viértola,Calle Jose De Cadalso 50,Caramuel,Calle Caramuel nº 51,5
Colegio Beata María Ana de Jesús,Calle Guillermo De Osma 10,Entrada Matadero,Paseo de la Chopera nº 14,1
Colegio Bernadette,Calle Santa Bernardita 1,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Bienaventurada Virgen María,Calle Cullera 17,Caramuel,Calle Caramuel nº 51,5
Colegio Blanca de Castilla,Paseo Eduardo Dato 2,General Martínez Campos ,Calle Fernández de la Hoz nº 29,8
Colegio Bra Institución,Calle Maria Lombillo 5,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Británico  British Council Infants School El Viso,Calle Alfonso Rodriguez Santamaria 23,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Británico Hastings School. Paseo Habana,Paseo Habana 204,Pío XII,Avenida Pío XII nº 3,17
Colegio Británico Holy Mary Catholic School,Calle Condes Del Val 12,Paseo de la Habana 63,Paseo de la Habana nº 63,11
Colegio Británico Internacional. International School Of Madrid. C/ Rosa Jardón,Calle Rosa Jardon 3,Pío XII,Avenida Pío XII nº 3,17
Colegio Británico Maxwell School,Calle Serrano 158,Plaza de la República Argentina,Plaza de la República Argentina nº 6,5
Colegio Británico Montessori School La Florida,Calle Motrico 3,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Británico Numont School,Calle Parma 16,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Británico Saint Anne's School,Avenida Alfonso Xiii 162,Pío XII,Avenida Pío XII nº 3,17
Colegio Británico Santo Ángel British School,Calle Arroyo Fontarron 209,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Británico St. George's School of Madrid,Calle Padres Dominicos 1,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Británico The English Montessori School,Calle La Salle 2,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Británico Todo Niños Nursery School,Calle Serrano 163,Plaza de la República Argentina,Plaza de la República Argentina nº 6,5
Colegio BrotMadrid,Calle Blas Cabrera 88,Caramuel,Calle Caramuel nº 51,5
Colegio Brístol,Calle Enrique De Prada 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio CEU San Pablo de Claudio Coello,Calle Martin De Los Heros 60,Quintana,Calle Quintana nº 11,21
Colegio CEU San Pablo. Sanchinarro,Avenida Alcalde Conde De Mayalde 45,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Calasancio Nuestra Señora de las Escuelas Pías. Calle Conde Peñalver,Calle Conde De Pe&Amp;Ntilde;Alver 51,Juan Bravo 50,Calle Juan Bravo nº 50,6
Colegio Cardenal Spinola,Calle Cardenal Marcelo Spinola 34,Pío XII,Avenida Pío XII nº 3,17
Colegio Casa de La Virgen,Calle Virgen Del Val 1,Avenida Donostiarra,Calle Virgen de la Alegría nº 18,16
Colegio Cenit,Calle Vital Aza 31,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Central,Calle Manuel Muñoz 9,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Centro Cultural Elfo,Calle Elfo 74,José María Pereda,Calle José María de Pereda nº 1,19
Colegio Centro Cultural Palomeras,Calle Luis Marin,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Centro Cultural Salmantino,Calle Puerto De Pajares 6,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Cervantes,Calle Elvas 2,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Chamberí (MARISTAS),Calle Rafael Calvo 12,General Martínez Campos ,Calle Fernández de la Hoz nº 29,8
Colegio Ciudad de los Muchachos,Calle Santa Marta 15,Doctor Lozano,Calle Sierra Toledana nº 33,9
Colegio Claret,Calle Corazon De Maria 1,Avenida de América 1,Calle Padre Indalecio Hernández nº 1,2
Colegio Comunidad Infantil Villaverde,Calle Villastar 10,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Corazón Inmaculado,Calle Lopez De Hoyos 59,Prosperidad,Calle Suero de Quiñones nº 2,8
Colegio Corazón de María,Calle Zigia 1,C.D. Concepción,Calle Jose del Hierro nº 5,19
Colegio Corpus Christi,Calle Amara 4,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Cristo Rey. Avenida San Luis,Avenida San Luis 29,Pío XII,Avenida Pío XII nº 3,17
Colegio Cristo Rey. Calle Santa Úrsula,Calle Santa Ursula 5,Puerta del Ángel,Plaza Puerta del Ángel nº 4,14
Colegio Cumbre,Calle Costa Rica 25,Colombia,Calle Colombia nº 7,6
Colegio Cumbre Oxford,Calle Buendia 50,Méndez Álvaro,Calle Retama nº 5,13
Colegio Decroly,Calle Guzman El Bueno 60,Galileo,Calle Galileo nº 63,13
Colegio Diocesano Cristo de la Guía,Calle Ezcaray 3,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Diocesano María Inmaculada. Calle Joaquín Turina,Calle Joaquin Turina 62,Caramuel,Calle Caramuel nº 51,5
Colegio Dionisia Plaza,Calle Espinos 10,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Divina Pastora. Calle Emilio Ortuño,Calle Emilio Ortuño 13,Puente de Vallecas,Avenida de la Albufera nº 6,13
Colegio Divina Pastora. Calle Santa Engracia,Calle Santa Engracia 142,Santa Engracia 127,Calle Santa Engracia nº 127,10
Colegio Divino Corazón,Calle Divino Redentor 55,Remonta,Calle Azucenas nº 1,12
Colegio Divino Maestro,"Paseo Extremadura 165 C/ Dante, 10",Caramuel,Calle Caramuel nº 51,5
Colegio Dos Parques,Calle San Anastasio 4,Puente Praga,Paseo de la Esperanza nº 59,11
Colegio Edith Stein,Calle Simca 20,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio El Ave María,Calle Doctor Salgado 16,Sierra Toledana,Camino de Valderribas nº 94,19
Colegio El Carmelo Teresiano,Calle Nuñomoral 1,Caramuel,Calle Caramuel nº 51,5
Colegio El Cid,Calle San Cipriano 34,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio El Porvenir,Calle Bravo Murillo 85,Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,3
Colegio El Prado,Calle Costa Brava 4,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio El Valle,Calle Cordel De Pavones 2,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio El Valle II,Calle Ana De Austria 60,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio El Valle III,Calle Cebreiro 2,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio English For Fun (EE. UU.),Calle Darro 5,Paseo de la Habana 42,Paseo de la Habana nº 42,5
Colegio Enriqueta Aymer,Calle Mirabel 38,Caramuel,Calle Caramuel nº 51,5
Colegio Escuela Al - Nahda Al - Gadida de Madrid,Calle Rodriguez Marin 7,María Francisca 1,Calle María Francisca nº 1,3
Colegio Escuela Iraquí,Ronda Abubilla 18 Parque Conde Orgaz,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Escuela Maternal Francesa Pomme D'Api (Ecole Maternelle Francaise),Avenida Madroños 69,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Escuelas Santísimo Sacramento. Calle María Auxiliadora,Calle Maria Auxiliadora 9,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio Espíritu Santo,Calle San Emilio 54,Marqués de Corbera 12,Avenida Marqués de Corbera nº 12,15
Colegio Estadounidense City Country School,Calle Isla Soledad 2,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Estadounidense Madrid Active School,Calle Maria Zayas 8,San Germán 57,Calle San Germán nº 57,3
Colegio Estadounidense Madrid Montessori School,Calle Genil 11,Doctor Arce 45,Avenida del Doctor Arce nº 45,1
Colegio Estudiantes las Tablas,Calle Fromista 1,Pedro Rico,Calle Pedro Rico nº 4,0
Colegio Estudio,Calle Jimena Menendez Pidal 11,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Fem School,Calle Loma 4,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Fomento Fundación. Calle Padre Claret,Calle Padre Claret 23,Corazón de María,Calle Santa Hortensia nº 31,5
Colegio Fray Luis de León,Calle Evaristo San Miguel 10,Ventura Rodríguez,Calle Duque de Liria,0
Colegio Fuentelarreyna,Calle Ramon Gomez De La Serna 62,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Fundación Caldeiro,Avenida Toreros 45,Ventas,Avenida de los Toreros nº 49,9
Colegio Fundación Santamarca,Calle Marcenado 50,Parque Berlín,Avenida de Concha Espina nº 34,5
Colegio GSD Las Suertes,Calle Rafael De Leon 10,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio GSD Moratalaz,Calle Luis De Hoyos Sainz 170,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio GSD Vallecas,Avenida Parque De Palomeras Bajas 14,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Gamo Diana,Calle Tembleque 104,Caramuel,Calle Caramuel nº 51,5
Colegio Gaudem,Calle Playa De Barlovento 14,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Guzmán el Bueno,Calle Eugenio Salazar 15,Prosperidad,Calle Suero de Quiñones nº 2,8
Colegio Highlands El Encinar,Calle San Enrique De Osso 46,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Hispano Alemán,Calle Serrano 186,Serrano 210,Calle Serrano nº 210,6
Colegio Huérfanos de la Armada,"Calle Arturo Soria 285 Tambien Arturo Soria, 278",Pío XII,Avenida Pío XII nº 3,17
Colegio Inmaculada Concepción,Calle General Diaz Porlier 25,Príncipe de Vergara,Calle Hermosilla nº 70,5
Colegio Institución del Divino Maestro,Calle San Vicente Ferrer 82,San Vicente Ferrer,Calle San Vicente Ferrer nº 64,20
Colegio Internacional Aravaca,Calle Santa Bernardita 3,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Internacional J.H. Newman,Avenida Guadalajara 28,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Internacional Nicoli,Paseo Eduardo Dato 4,General Martínez Campos ,Calle Fernández de la Hoz nº 29,8
Colegio Japonés de Madrid,Avenida Victoria 98,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Jesús Maestro,Calle Melquiades Alvarez 8,San Francisco de Sales,Calle General Ampudia nº 2,8
Colegio Jesús María - Nuestra Señora de la Caridad del Cobre,Calle Hermanos Garcia Noblejas 17,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Jesús María. Calle Hermanos García Noblejas 68,Calle Hermanos Garcia Noblejas 68,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Jesús María. Calle Juan Bravo,Calle Juan Bravo 13,Velázquez-Diego de León,Calle Velázquez nº 91,3
Colegio Joyfe,Calle Vital Aza 65,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Juan de Valdés,Avenida Canillejas A Vicalvaro 135,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio King's College (king's Infant School),Calle Prieto Ureña 9,Pío XII,Avenida Pío XII nº 3,17
Colegio La Inmaculada - Marillac,Calle Garcia De Paredes 37,José Abascal,Calle José Abascal nº 33,8
Colegio La Inmaculada. Avenida Virgen del Carmen,Avenida Virgen Del Carmen 13,Pío XII,Avenida Pío XII nº 3,17
Colegio La Inmaculada. Calle Navalperal,Calle Navalperal 9,Facultad Derecho,Avenida Complutense nº 23,8
Colegio La Merced,Calle Luis De Gongora 5,Augusto Figueroa,Calle Augusto Figueroa nº 33,0
Colegio La Milagrosa,Calle Puerto Del Monasterio 35,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio La Natividad,Calle Torrox 4,Embajadores 191,Calle Sodio nº 1B,11
Colegio La Presentación de Nuestra Señora,Plaza Vicalvarada 1,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio La Purísima,Calle Ricardo Ortiz 29,Puente de Ventas,Avenida de Daroca nº 2,16
Colegio La Salle,Calle General Romero Basart 50,Caramuel,Calle Caramuel nº 51,5
Colegio La Salle - Sagrado Corazón,Avenida Cardenal Herrera Oria 242,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio La Salle - San Rafael,Calle Fernando El Catolico 49,Fernando el Católico,Calle Fernando el Católico nº 61,15
Colegio La Salle-La Paloma - Fundación Lara,Calle Paloma 21,Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,12
Colegio Las Tablas Valverde,Paseo Tierra De Melide 22,Manuel Caldeiro,Paseo de la Castellana nº 298,11
Colegio Liceo Francés,Plaza Liceo 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Liceo Ibérico,Calle Antonio Vicent 62,San Delfín,Calle San Delfín nº 9,17
Colegio Liceo Madariaga,Calle Francisco Madariaga 26,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Liceo Oroquieta,Calle Sahara 79 C/ Villayoyosa 85,Embajadores 191,Calle Sodio nº 1B,11
Colegio Liceo Rosales,Calle Ignacio Santos Viñuelas 9,Embajadores 191,Calle Sodio nº 1B,11
Colegio Liceo Sorolla B,Calle Nueva Zelanda 21,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Liceo Versalles,Calle Puerto De Somosierra 9,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Los Tilos,Calle El Bosco ,Plaza del Encuentro,Calle Arroyo de las Pilillas nº 6,16
Colegio Lourdes,Calle San Roberto 8,Caramuel,Calle Caramuel nº 51,5
Colegio Luis Feito,Calle Luis Feito 19,Caramuel,Calle Caramuel nº 51,5
Colegio Luz Casanova Embajadores,Calle Aldea Del Fresno 1,Jaime el Conquistador,Calle Jaime el Conquistador nº 30,11
Colegio Luz Casanova. Calle Alondra,Calle Alondra 18,Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9,2
Colegio Luz Casanova. Calle Madridejos,Calle Madridejos 34,San Delfín,Calle San Delfín nº 9,17
Colegio López Vicuña,Calle Hinojal 7,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio Madre de Dios,Calle Angel Muñoz 5,Condesa de Venadito,Calle Condesa de Venadito nº 2,10
Colegio Madres Concepcionistas,Calle Princesa 19,Ventura Rodríguez,Calle Duque de Liria,0
Colegio Madres Mercedarias de Don Juan de Alarcón,Calle Valverde 15,Desengaño,Calle Desengaño nº 1,23
Colegio Madrid,Calle Arturo Soria 147,Pío XII,Avenida Pío XII nº 3,17
Colegio Madrid Pinar,Calle Mesena 101,Pío XII,Avenida Pío XII nº 3,17
Colegio María Auxiliadora,Calle Villaamil 18,Francos Rodríguez,Calle Francos Rodríguez nº 62,3
Colegio María Cristina,Calle Antillon 6,Puerta del Ángel,Plaza Puerta del Ángel nº 4,14
Colegio María Inmaculada. Calle Fuencarral,Calle Fuencarral 97,Fuencarral,Calle Fuencarral nº 108,25
Colegio María Inmaculada. Calle Mogambo,Calle Mogambo 5,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio María Inmaculada. Calle Ríos Rosas,Calle Rios Rosas 35,Agustín de Betancourt,Calle María de Guzmán nº 58,1
Colegio María Inmaculada. Paseo General Martínez Campos,Paseo General Martinez Campos 18,General Martínez Campos ,Calle Fernández de la Hoz nº 29,8
Colegio María Reina. Avenida Orcasur,Avenida Orcasur 42,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio María Reina. Calle Aranzueque,Calle Aranzueque 4,Facultad Derecho,Avenida Complutense nº 23,8
Colegio María Reina. Calle Gil Polo,Calle Gil Y Polo 7,Gutierre de Cetina,Calle Gutierre de Cetina nº 77,6
Colegio María Virgen,Calle Padre Damian 20,Doctor Fleming,Calle Doctor Fleming nº 7,8
Colegio Mater Amabilis,Calle Gavia Seca 15,Pavones,Calle Hacienda de Pavones nº 342,16
Colegio Mater Clementisima,Calle Antonio Folgueras 14,Concordia,Calle Arroyo del Olivar nº 6,21
Colegio Mater Inmaculata,Calle Madre Antonia Paris 1,Carlota O’Neill,Calle Carlota O'Neill nº 32,13
Colegio Mater Puríssima,Calle Madre Candida Maria De Jesus 4,Glorieta de Cádiz,Calle Antonio López nº 129,18
Colegio Mater Salvatoris,Calle Valdesqui 4,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Mayor Alcalá,Calle Don Ramon Menendez Pidal 2,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Alcor,Calle General Ampudia 7,San Francisco de Sales,Calle General Ampudia nº 2,8
Colegio Mayor Antonio de Nebrija,Avenida Seneca 8,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Colegio Mayor Aquinas (Santo Tomás de Aquino),Calle Leonardo Prieto Castro 6,Facultad Biología,Calle José Antonio Novais frente al nº 12,12
Colegio Mayor Argentino Nuestra Señora de Luján,Calle Martin Fierro 3,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Colegio Mayor Barberán y Collar,Avenida Seneca 16,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Colegio Mayor Casa Do Brasil,Avenida Memoria 3,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Colegio Mayor Chaminade,Paseo Juan Xxiii 9,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Diego de Covarrubias,Avenida Seneca 10,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Colegio Mayor Elías Ahúja,Calle Rector Royo-Villanova 4,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Fundación SEPI,Avenida Gregorio Del Amo 2,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Jaime del Amo,Avenida Gregorio Del Amo 5,Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),9
Colegio Mayor Jorge Juan,Avenida Seneca 14,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Colegio Mayor Juan Luis Vives,Calle Francisco Suarez 7,López Pozas,Calle General López Pozas nº 2,5
Colegio Mayor Juan XXIII Roncalli,Calle Ramiro De Maeztu 3,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Loyola,Paseo Juan Xxiii 17,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Mara,Paseo Juan Xxiii 15,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Marqués de la Ensenada,Avenida Seneca 18,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,3
Colegio Mayor Mater Salvatoris,Calle Valdesqui 3,Facultad Derecho,Avenida Complutense nº 23,8
Colegio Mayor Moncloa,Avenida Moncloa 3,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Montalbán,Calle Diego De Leon 14,Velázquez-Diego de León,Calle Velázquez nº 91,3
Colegio Mayor Méndel,Calle Rector Royo-Villanova 6,Reina Victoria,Calle Beatriz de Bobadilla frente al nº 2,7
Colegio Mayor Nuestra Señora de Guadalupe,Avenida Seneca 4,Paseo de Moret,Paseo de Moret nº 11,13
Colegio Mayor Nuestra Señora de África,Calle Ramiro De Maeztu 8,Facultad Biología,Calle José Antonio Novais frente al nº 12,12
